Num	Chr	Start	Size	Strand	ChrSize	QueryName	QueryStart	QuerySize	QueryStrand	QuerySizeTot	Info	Prob
6402	GLCHR01	1466686	1147	+	1491578	utg53_pilon	375886	1135	-	390909	964,5:0,9,2:0,53,2:0,10,1:0,39,0:1,17,2:0,35,1:0,7	mismap=1e-10
242652	GLCHR03	32530	40442	+	1958359	utg53_pilon	33690	40442	+	390909	40442	mismap=1e-10
16519	GLCHR03	79536	2826	+	1958359	utg53_pilon	313962	2815	-	390909	2069,2:0,8,1:0,62,1:0,68,1:0,43,1:0,38,1:0,15,1:0,24,3:0,488	mismap=1e-10
1204986	GLCHR03	75373	200943	+	1958359	utg53_pilon	76948	200942	+	390909	70,1:0,3720,0:2,526,0:1,2813,1:0,103,1:0,41,3:0,75662,0:1,485,0:1,117517	mismap=1e-10
1508	GLCHR02	29909	257	+	1519671	utg53_pilon	277894	257	+	390909	257	mismap=0.763
1230	GLCHR03	141968	205	+	1958359	utg53_pilon	278154	205	+	390909	205	mismap=0.323
906	GLCHR02	30380	168	+	1519671	utg53_pilon	278365	168	+	390909	168	mismap=0.042
241505	GLCHR03	276668	40272	+	1958359	utg53_pilon	278533	40280	+	390909	29107,0:1,499,0:7,10666	mismap=1e-10
61304	GLCHR03	317952	10269	+	1958359	utg53_pilon	61836	10260	-	390909	12,1:0,184,1:0,150,1:0,40,2:0,21,1:0,26,2:0,330,1:0,9497	mismap=1e-10
319515	GLCHR03	327396	53596	+	1958359	utg53_pilon	329074	53562	+	390909	218,1:0,51,1:0,90,1:0,59,1:0,295,1:0,492,1:0,82,0:1,17,2:0,73,1:0,74,5:0,405,1:0,4,2:0,39,0:1,149,5:0,215,1:0,291,2:0,9,2:0,58,2:0,54,4:3,82,0:1,102,1:0,9,1:0,5,1:0,111,1:0,13,3:0,30056,0:1,190,0:1,3203,1:0,15,0:1,21,1:0,616,2:0,5234,0:2,509,0:2,10562,1:0,126,2:0,20	mismap=1e-10
