Num	Chr	Start	Size	Strand	ChrSize	QueryName	QueryStart	QuerySize	QueryStrand	QuerySizeTot	Info	Prob
389	GLCHR04	1746380	373	+	2762469	utg11_pilon	1820920	388	-	1821772	36,0:3,23,1:0,13,0:6,10,0:2,15,0:5,53,2:0,52,3:0,47,0:1,43,0:2,29,1:0,26,0:3,19	mismap=1e-10
354	GLCHR04	1745182	855	+	2762469	utg11_pilon	1819687	881	-	1821772	25,2:0,27,1:0,32,2:0,22,0:3,10,0:18,26,19:0,29,1:0,20,1:0,19,2:0,16,0:2,15,0:6,27,1:0,27,0:1,35,2:0,26,3:0,19,0:4,61,0:8,36,0:3,66,0:2,35,1:0,23,0:1,69,0:3,24,0:3,14,2:0,6,0:6,21,0:4,23,0:1,28,2:0,35	mismap=1e-10
3741	GLCHR04	1739892	4617	+	2762469	utg11_pilon	1814296	4715	-	1821772	38,0:3,25,2:0,13,3:0,22,3:0,16,0:6,36,3:0,31,0:3,31,0:1,35,0:3,29,1:0,15,2:0,19,0:2,23,3:0,41,0:2,26,0:2,11,1:0,14,1:0,55,2:0,7,0:3,33,0:2,15,1:0,15,1:0,14,0:2,21,0:1,35,2:0,23,0:1,54,2:0,63,2:0,40,0:1,40,1:0,13,0:2,11,0:4,5,1:0,13,0:3,13,0:1,11,0:1,41,1:0,35,0:2,25,5:0,27,0:4,21,0:1,8,0:10,16,0:1,10,0:2,11,0:5,18,0:1,61,2:0,34,0:10,25,1:0,9,0:9,16,12:0,19,0:5,13,0:1,27,2:0,29,0:2,19,2:0,20,0:3,7,0:3,24,0:2,15,0:3,13,2:0,58,0:1,8,0:2,14,0:1,27,0:1,30,0:4,28,1:0,15,0:3,13,0:1,50,0:1,21,0:5,99,0:2,35,0:1,34,3:0,12,0:8,7,2:0,31,1:0,34,4:0,11,0:2,8,0:1,12,1:0,11,0:2,46,0:2,42,5:0,57,1:0,35,1:0,28,3:0,28,0:1,12,0:2,12,1:0,71,1:0,29,8:0,8,0:16,33,0:3,21,1:0,32,0:16,15,13:0,30,1:0,15,0:1,13,0:1,6,0:1,32,0:2,11,1:0,32,0:1,30,0:1,12,1:0,17,0:1,14,1:0,32,0:2,23,0:4,19,0:1,18,0:1,20,0:3,13,0:3,18,0:2,62,0:4,10,0:1,61,0:2,19,3:0,10,0:2,45,0:1,43,0:1,42,0:3,22,0:2,23,0:1,22,0:2,39,0:2,23,2:0,16,0:1,19,1:0,30,11:0,4,0:15,15,0:2,8,0:2,14,0:14,18,15:0,24,0:2,25,1:0,31,0:2,11,0:4,7,0:6,25,2:0,45,1:0,12,0:2,28,2:0,35,1:0,25,1:0,22,3:0,35,0:1,21,8:0,30,0:2,7,0:1,10,2:0,18,15:0,13,1:0,8,2:0,9,0:1,42,6:0,10,8:0,8,2:0,35,0:3,18,0:1,13,0:1,54,0:1,56,0:1,20,0:2,10,0:1,8,3:0,14,2:0,23,0:5,11,1:0,38,0:2,44,2:0,19,0:2,13,0:1,8,6:0,15,1:0,41,0:1,45,0:5,45	mismap=1e-10
305	GLCHR04	1739362	195	+	2762469	utg11_pilon	1813834	187	-	1821772	13,0:2,17,0:2,27,1:0,52,5:0,43,7:0,18,0:1,12	mismap=1e-10
311	GLCHR04	1737544	486	+	2762469	utg11_pilon	1811963	506	-	1821772	56,0:11,34,0:9,15,0:3,15,2:0,57,0:3,34,1:0,16,0:3,15,0:20,25,9:0,24,0:1,8,0:1,20,7:0,12,10:0,60,0:1,27,3:0,36	mismap=1e-10
9373	GLCHR04	1732099	4711	+	2762469	utg11_pilon	1806636	4591	-	1821772	47,1:0,13,1:0,27,0:2,32,2:0,34,2:0,34,0:1,12,0:4,22,1:0,25,0:1,61,0:1,43,4:0,21,3:0,78,0:1,68,1:0,11,3:0,45,1:0,17,2:0,67,1:0,231,2:0,87,1:0,65,0:2,120,2:0,46,1:0,55,0:1,302,0:1,44,0:1,153,0:1,66,0:1,29,4:0,169,1:0,30,0:1,20,0:1,33,0:1,53,9:0,37,0:2,104,0:3,18,0:1,166,1:0,11,2:0,175,1:0,58,3:0,34,0:1,110,2:0,111,1:0,7,1:0,105,1:0,53,0:1,61,3:0,29,1:0,135,2:0,36,2:0,30,1:0,10,0:1,16,0:1,115,1:0,10,7:0,9,5:0,20,2:0,19,4:0,15,2:0,144,4:0,21,4:0,42,2:0,95,6:0,48,2:0,50,0:2,22,2:0,43,15:0,31,4:0,43,0:1,12,1:0,142,15:0,59,8:0,34,3:0,13,1:0,8,3:0,81,0:1,15	mismap=1e-10
4458	GLCHR04	1730350	1425	+	2762469	utg11_pilon	1804909	1406	-	1821772	53,1:0,31,1:0,119,0:1,45,1:0,38,1:0,117,1:0,55,1:0,34,1:0,214,1:0,31,2:0,73,1:0,51,1:0,20,1:0,170,3:0,188,4:0,166	mismap=1e-10
258	GLCHR05	4329845	338	+	4471437	utg11_pilon	17762	335	+	1821772	23,0:3,114,15:0,53,5:0,18,0:14,110	mismap=0.614
327	GLCHR04	1169758	297	+	2762469	utg11_pilon	18606	300	+	1821772	24,3:0,51,0:6,219	mismap=0.366
321	GLCHR05	3207553	175	+	4471437	utg11_pilon	18906	167	+	1821772	38,6:0,17,2:0,112	mismap=0.436
389	GLCHR03	833183	148	+	1958359	utg11_pilon	1802344	148	-	1821772	148	mismap=0.00471
557	GLCHR04	1170502	685	+	2762469	utg11_pilon	19502	640	+	1821772	49,3:0,25,17:0,23,0:2,17,3:0,103,3:0,66,3:0,159,0:6,36,21:0,52,3:0,102	mismap=1e-10
229	GLCHR01	1369115	194	+	1491578	utg11_pilon	1801440	182	-	1821772	80,9:0,37,3:0,65	mismap=0.0339
317	GLCHR04	1696404	82	+	2762469	utg11_pilon	20828	80	+	1821772	17,1:0,6,1:0,57	mismap=0.5
