Num	Chr	Start	Size	Strand	ChrSize	QueryName	QueryStart	QuerySize	QueryStrand	QuerySizeTot	Info	Prob
2720	GLCHR01	1466704	1355	+	1491578	utg5_pilon	1476208	1309	-	1478415	22,0:3,8,0:1,8,2:0,4,1:0,7,0:3,15,0:1,16,1:0,2,1:0,29,1:0,8,4:0,5,1:0,7,1:0,33,1:0,13,2:0,10,0:3,2,1:0,16,0:1,52,0:2,13,2:0,19,2:0,1,0:1,18,2:0,21,3:0,3,0:2,5,0:4,26,2:0,1,0:3,17,5:0,6,0:1,15,2:0,60,0:1,17,15:0,1,0:10,15,2:0,29,5:0,2,0:5,45,0:1,3,3:0,26,22:0,1,0:19,8,3:0,16,0:1,19,3:0,33,0:1,36,2:0,4,1:0,22,0:2,8,2:0,30,0:1,34,1:0,10,36:0,1,0:31,9,0:2,3,1:0,18,0:2,11,2:0,9,27:0,5,0:21,36,0:1,6,1:0,5,2:0,5,3:0,7,1:0,20,0:1,19,2:0,22,0:2,35,0:1,9,1:0,5,1:0,24,7:7,17,0:1,17,1:0,24,2:0,10,1:0,36	mismap=1e-10
32420	GLCHR01	1462496	5609	+	1491578	utg5_pilon	1466489	5593	-	1478415	3193,0:2,1427,2:0,210,0:1,23,1:0,8,1:0,5,1:0,28,2:0,24,2:0,87,2:0,122,1:0,27,2:0,45,0:1,58,1:0,22,2:0,10,1:0,22,1:0,84,1:0,166,1:0,17,0:1,10	mismap=1e-10
2016614	GLCHR01	1126265	336206	+	1491578	utg5_pilon	1127790	336202	-	1478415	15206,0:1,117557,2:0,58,1:0,56,3:0,446,1:0,107107,1:0,1341,0:1,617,0:2,93810	mismap=1e-10
302368	GLCHR01	1075538	50452	+	1491578	utg5_pilon	1077255	50442	-	1478415	1160,1:0,398,5:0,3795,0:1,510,0:1,5655,5:0,33,1:0,38889	mismap=1e-10
10536	GLCHR01	1032314	1756	+	1491578	utg5_pilon	401160	1756	+	1478415	1756	mismap=1e-10
3858	GLCHR01	1034426	643	+	1491578	utg5_pilon	403255	643	+	1478415	643	mismap=1e-10
20878	GLCHR01	1069203	3551	+	1491578	utg5_pilon	1070978	3539	-	1478415	143,1:0,18,4:0,565,1:0,8,1:0,104,1:0,1786,2:0,12,1:0,69,1:0,834	mismap=1e-10
5749	GLCHR01	1069375	1004	+	1491578	utg5_pilon	1069977	1001	-	1478415	248,0:1,13,1:0,280,2:0,11,1:0,448	mismap=0.00837
175320	GLCHR01	1040365	29252	+	1491578	utg5_pilon	1040722	29251	-	1478415	21023,0:1,8072,1:0,52,1:0,103	mismap=1e-10
42393	GLCHR01	1026265	7123	+	1491578	utg5_pilon	437693	7117	+	1478415	3864,1:0,999,0:1,448,2:0,130,2:0,86,1:0,101,1:0,1488	mismap=1e-10
